Page Index	Product Name	Product Link	Image Link	order ID	basic item number	brand name	minimum order quantity	packages	manufacturer name	Country of origin	Weight	Price
1	Micro Point Drill(Drill for Guide Hole)  04-00010-01000  NS	https://kital-tools.com/products/nspd0-1x0-2-1350	//kital-tools.com/cdn/shop/products/NSPD0.1X0.2_1350_1024x1024@2x.jpg?v=1634682932	4272439	NSPD0.1X0.2	NS	1Pcs	1	"NS Tool Co., Ltd."	Japan	0G	697.601?
1	Micro Point Drill(Drill for Guide Hole)  04-00010-00900  NS	https://kital-tools.com/products/nspd0-09x0-18-1350	//kital-tools.com/cdn/shop/products/NSPD0.09X0.18_1350_1024x1024@2x.jpg?v=1634682930	4272421	NSPD0.09X0.18	NS	1Pcs	1	"NS Tool Co., Ltd."	Japan	0G	934.522?
1	Micro Point Drill(Drill for Guide Hole)  04-00010-00800  NS	https://kital-tools.com/products/nspd0-08x0-16-1350	//kital-tools.com/cdn/shop/products/NSPD0.08X0.16_1350_1024x1024@2x.jpg?v=1634682928	4272412	NSPD0.08X0.16	NS	1Pcs	1	"NS Tool Co., Ltd."	Japan	0G	934.522?
1	Micro Point Drill(Drill for Guide Hole)  04-00010-00700  NS	https://kital-tools.com/products/nspd0-07x0-14-1350	//kital-tools.com/cdn/shop/products/NSPD0.07X0.14_1350_1024x1024@2x.jpg?v=1634682926	4272404	NSPD0.07X0.14	NS	1Pcs	1	"NS Tool Co., Ltd."	Japan	0G	1.368.878?
1	Micro Point Drill(Drill for Guide Hole)  04-00010-00600  NS	https://kital-tools.com/products/nspd0-06x0-12-1350	//kital-tools.com/cdn/shop/products/NSPD0.06X0.12_1350_1024x1024@2x.jpg?v=1634682924	4272391	NSPD0.06X0.12	NS	1Pcs	1	"NS Tool Co., Ltd."	Japan	0G	1.526.825?
1	Micro Point Drill(Drill for Guide Hole)  04-00010-00500  NS	https://kital-tools.com/products/nspd0-05x0-1-1350	//kital-tools.com/cdn/shop/products/NSPD0.05X0.1_1350_1024x1024@2x.jpg?v=1634682921	4272382	NSPD0.05X0.1	NS	1Pcs	1	"NS Tool Co., Ltd."	Japan	0G	1.658.448?
1	Micro Point Drill(Drill for Guide Hole)  04-00010-00400  NS	https://kital-tools.com/products/nspd0-04x0-08-1350	//kital-tools.com/cdn/shop/products/NSPD0.04X0.08_1350_1024x1024@2x.jpg?v=1634682919	4272374	NSPD0.04X0.08	NS	1Pcs	1	"NS Tool Co., Ltd."	Japan	0G	1.961.180?
1	Micro Point Drill(Drill for Guide Hole)  04-00010-00300  NS	https://kital-tools.com/products/nspd0-03x0-06-1350	//kital-tools.com/cdn/shop/products/NSPD0.03X0.06_1350_1024x1024@2x.jpg?v=1634682909	4272366	NSPD0.03X0.06	NS	1Pcs	1	"NS Tool Co., Ltd."	Japan	0G	2.908.865?
1	Micro Point Drill(Drill for Guide Hole)  04-00010-00200  NS	https://kital-tools.com/products/nspd0-02x0-04-1350	//kital-tools.com/cdn/shop/products/NSPD0.02X0.04_1350_1024x1024@2x.jpg?v=1634682906	4272358	NSPD0.02X0.04	NS	1Pcs	1	"NS Tool Co., Ltd."	Japan	0G	4.975.343?
1	Micro Point Drill(Drill for Guide Hole)  04-00010-00250  NS	https://kital-tools.com/products/nspd0-025x0-05-1350	//kital-tools.com/cdn/shop/products/NSPD0.025X0.05_1350_1024x1024@2x.jpg?v=1634682904	4272340	NSPD0.025X0.05	NS	1Pcs	1	"NS Tool Co., Ltd."	Japan	0G	4.975.343?
