Type Name,Name,Link,Dùng Cho Trục,Vật Liệu,Bề Rộng Rãnh Sử Dụng,Đường Kính Rãnh Sử Dụng,Đường Kính Trong,Độ Dày,Tiêu Chuẩn,Thương Hiệu,Đường Kính Ngoài,Số Răng,Dùng Cho Lỗ,Số Lượng,Size Ren,Bước Ren,Chiều Dài Sau Khi Lắp,Số Vòng Xoắn,Đường Kính Lỗ Khoan,Hệ Kích Thước,Phân Loại,Chiều Cao,Đường Kính,Khuyên Dùng,Độ Dày Tấm Làm Việc,Đường Kính Chân,Chiều Cao Chân,Xử Lý Bề Mặt,Chiều Ren,Đường Kính Đầu,Đường Kính Thân,Tổng Chiều Dài,Chiều Dài Không Ren,Chiều Dài,Loại Ren
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D36x1.75,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d36x175.ggpM,36 mm,Thép 65Mn,1.85 mm,34 mm,33.2 mm,1.75 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D3x0.4,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d3x04.reBQ,3 mm,Thép 65Mn,0.5 mm,2.8 mm,2.7 mm,0.4 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D3x0.4 (50pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d3x04-50pcspack.8LNDg,3 mm,Thép 65Mn,0.5 mm,2.8 mm,2.7 mm,0.4 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D4x0.4,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d4x04.bjg6,4 mm,Thép 65Mn,0.5 mm,3.8 mm,3.7 mm,0.4 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D4x0.4 (50pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d4x04-50pcspack.y9pRP,4 mm,Thép 65Mn,0.5 mm,3.8 mm,3.7 mm,0.4 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D5x0.6,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d5x06.E8jL,5 mm,Thép 65Mn,0.7 mm,4.8 mm,4.7 mm,0.6 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D5x0.6 (50pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d5x06-50pcspack.npG1K,5 mm,Thép 65Mn,0.7 mm,4.8 mm,4.7 mm,0.6 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D6x0.7,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d6x07.ABqa,6 mm,Thép 65Mn,0.8 mm,5.7 mm,5.6 mm,0.7 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D6x0.7 (50pcs/pack),https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d6x07-50pcspack.0DNwr,6 mm,Thép 65Mn,0.8 mm,5.7 mm,5.6 mm,0.7 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
Phe Gài,Phe Gài Trục Thép 65Mn DIN471 D7x0.8,https://mecsu.vn/chi-tiet/phe-gai-truc-thep-65mn-din471-d7x08.WD2x,7 mm,Thép 65Mn,0.9 mm,6.7 mm,6.5 mm,0.8 mm,DIN 471,MS-PRO, , , , , , , , , , , , , , , , , , , , , , , , , 
